F1,F3
-0.619,1.169
-0.643,0.999
-0.316,0.866
0.544,-0.972
-0.595,0.980
3.906,-2.043
-0.404,0.555
-0.704,1.135
-0.704,1.135
0.561,0.292
-0.415,0.036
1.455,-1.598
0.337,-1.559
-0.737,0.982
1.616,-1.633
1.679,-1.458
-0.611,0.750
-0.626,0.900
-0.637,-0.089
-0.583,0.355
-0.413,1.090
1.440,-1.582
-0.687,0.105
1.206,-0.784
-0.336,0.916
-0.639,-0.123
-0.429,-0.164
1.675,-1.446
-0.473,-0.156
-0.676,0.047
-0.642,-0.160
-0.423,-0.284
-0.530,-0.062
-0.502,-0.058
-0.413,-0.104
-0.439,0.042
-0.700,1.273
-0.624,0.931
-0.557,-0.460
-0.405,-0.133
-0.475,-0.132
-0.583,0.874
-0.592,1.006
-0.504,0.826
-0.524,-0.018
-0.527,-0.060
0.545,-0.823
-0.685,0.922
-0.668,-0.173
-0.598,0.645
1.591,-0.332
0.317,-0.794
0.399,-0.921
-0.396,0.032
-0.594,0.908
0.707,0.274
-0.599,-0.099
0.461,0.055
-0.722,0.266
-0.592,0.630
2.891,-1.154
2.763,-1.476
-1.088,0.609
0.418,0.274
-0.484,1.304
-0.411,1.297
-0.429,1.695
-0.546,-0.147
0.418,-0.692
0.470,0.196
1.524,-0.590
5.794,-4.157
-0.631,-0.153
-0.626,-0.060
-0.414,0.607
-0.529,-0.273
-0.378,0.001
-0.383,1.739
0.593,-0.970
-0.580,0.962
-0.544,-0.165
-0.415,0.945
-0.373,0.609
-0.159,-1.323
-0.463,-0.200
-0.632,0.001
-0.471,0.658
-0.732,-0.019
-0.560,-0.283
-0.735,-0.239
-0.719,-0.213
-0.621,-0.301
-0.488,-0.351
-0.382,1.453
-0.538,-0.160
0.453,-0.012
-0.716,-0.241
-0.674,-0.102
-0.694,-0.377
-0.894,0.474
-0.675,-0.119
0.398,-0.849
1.645,-1.290
0.152,-0.067
-0.727,1.002
-0.679,-0.048
-0.679,-0.003
-0.663,0.801
-0.372,1.771
-1.033,0.685
-0.503,-0.161
-0.312,1.064
-0.542,-0.477
-0.694,1.361
-0.660,0.978
-0.507,-0.027
-0.600,0.708
-0.405,-0.153
0.679,-0.781
-0.538,-0.417
-0.658,0.865
-0.618,0.862
-0.528,-0.225
-0.526,-0.186
-0.503,0.207
0.631,-0.812
-0.514,-0.186
-0.560,0.979
-0.595,0.755
-0.719,0.121
-0.360,0.535
-0.416,0.011
0.722,-0.148
-0.389,0.538
-0.656,-0.021
-0.437,-0.129
0.638,-0.852
-0.722,-0.263
-0.616,-0.379
-0.666,1.097
-0.626,0.691
-0.565,1.078
-0.653,-0.012
0.563,-0.837
-0.529,-0.239
-0.587,-0.205
-0.699,-0.037
-0.460,0.038
-0.642,1.163
-0.676,0.019
-0.583,0.908
0.299,-1.456
-0.672,-0.001
-0.608,-0.379
-0.747,-0.136
1.615,-0.400
-0.404,1.030
-0.671,-0.045
-0.712,0.045
0.374,-0.944
0.581,-1.091
-0.659,0.881
-0.634,-0.363
-0.547,0.952
-0.390,1.248
2.709,-2.027
0.385,-1.408
-0.408,-0.305
1.591,-0.796
-0.660,-0.085
1.488,-1.528
1.699,-1.639
0.553,-0.822
1.554,-0.678
0.688,0.692
-0.372,1.106
-0.467,0.902
-0.532,-0.331
2.605,-1.006
-0.537,0.958
-0.476,0.826
-0.439,0.668
-0.683,0.029
0.529,0.351
0.477,0.099
-0.478,0.112
-0.713,0.107
-0.644,-0.101
-0.651,-0.102
-0.752,-0.134
-0.709,-0.181
-0.656,-0.134
1.506,-1.608
3.725,-2.834
2.719,-2.473
-0.397,-0.088
0.382,0.264
-0.691,-0.046
-0.540,-0.521
-0.633,0.938
-0.152,-1.341
-0.726,0.249
-0.605,0.758
-0.343,0.450
-0.656,-0.256
-0.736,0.946
-0.642,-0.172
-0.503,-0.003
0.438,-0.847
-0.519,-0.227
0.763,0.035
-0.761,-0.053
-0.664,-0.254
0.708,-0.809
-0.638,0.724
-0.311,0.976
-0.451,0.798
0.606,0.399
-0.454,0.870
-0.648,0.866
-0.333,0.607
3.604,-2.907
-0.691,-0.138
-0.710,-0.214
0.477,0.207
-0.398,0.812
0.468,-1.138
-0.640,-0.116
-0.586,0.700
-0.384,0.226
-0.676,1.316
0.734,0.506
-0.315,0.732
-0.390,0.913
0.802,0.155
-0.710,-0.240
-0.596,0.626
0.659,0.111
-0.502,0.676
-0.714,-0.044
-0.639,0.203
-0.673,1.202
0.506,-0.001
-0.634,-0.174
-0.335,0.531
0.628,-0.168
-0.431,-0.427
-0.716,1.314
1.638,-0.563
-0.693,-0.074
-0.424,-0.197
1.731,-1.522
3.961,-2.075
-0.668,0.121
-0.678,-0.302
1.671,-1.604
-0.511,-0.367
-0.615,0.033
0.506,0.382
-0.699,1.002
-0.316,0.531
0.622,0.289
-0.910,0.635
-0.444,-0.234
-0.491,-0.229
-0.665,0.075
0.685,0.288
-0.326,0.694
2.664,-1.331
0.615,0.135
2.500,-2.189
1.429,-0.451
1.567,-0.620
-0.477,0.896
1.618,-1.975
-0.648,-0.186
-0.602,1.125
-0.697,-0.217
-0.712,0.218
-0.640,-0.117
-0.746,-0.055
-0.473,-0.233
-0.709,-0.160
-0.691,-0.267
-0.524,-0.144
0.571,-0.998
-0.685,1.035
-0.720,1.327
-0.579,0.793
-0.691,1.227
-0.637,0.138
-0.557,-0.648
-0.444,-0.050
0.603,0.015
-0.663,-0.139
-0.457,-0.108
1.597,-1.693
-0.539,0.965
-0.678,-0.211
1.555,-0.951
-0.632,0.672
-0.354,0.569
-0.690,-0.300
-0.704,-0.246
-0.618,-0.036
-0.696,1.177
-0.557,1.143
-0.114,-1.332
0.599,-0.962
-0.682,1.048
-0.657,-0.126
-0.380,1.560
-0.623,0.014
2.881,-1.034
-0.301,0.868
0.803,0.001
-0.683,-0.055
0.392,-0.955
0.518,-0.862
0.452,-0.005
-0.363,0.542
2.565,-1.973
-0.648,-0.044
-0.503,-0.328
1.547,-0.732
-0.624,0.775
0.431,-0.130
-0.498,0.543
-0.542,1.246
1.637,-0.552
0.504,-0.122
30.366,16.524
-0.567,0.967
-0.367,1.640
-0.483,0.948
-0.587,0.601
-0.917,0.669
1.790,-1.641
0.790,-0.004
0.061,-0.133
-0.709,-0.079
2.637,-1.244
1.431,-1.390
-0.717,-0.187
0.545,-0.939
-0.584,0.972
-1.013,0.478
0.149,-0.288
0.400,-0.581
-0.604,0.834
-0.669,-0.013
-0.457,-0.421
-0.570,0.862
-0.708,-0.188
0.686,-0.145
-0.719,-0.255
-0.672,-0.132
-0.882,0.404
-0.677,0.215
-0.525,-0.229
-0.581,0.873
-0.407,1.246
-0.932,0.478
-0.505,-0.171
0.629,0.184
-0.436,0.899
0.629,0.149
-0.456,1.123
-0.903,0.634
3.716,-1.832
-0.402,0.678
-0.696,-0.141
-0.650,0.172
-0.689,-0.012
-1.020,0.558
-0.699,0.012
1.536,-0.540
0.691,0.098
-0.684,-0.214
-0.363,0.054
-0.911,0.617
-0.744,-0.002
0.563,-0.583
0.571,0.204
-0.622,0.801
-0.964,0.575
-0.415,0.996
0.451,-0.778
-0.488,-0.131
-0.657,0.592
-0.537,0.591
2.670,-1.268
-0.372,0.605
-0.650,-0.134
2.661,-3.274
-0.716,1.138
-0.877,0.429
-0.675,0.113
-0.492,-0.254
-0.380,1.208
-0.661,-0.076
-0.621,-0.018
0.615,-0.680
0.464,-1.149
-0.501,0.076
-0.432,0.052
3.826,-3.037
-0.656,-0.093
-0.506,-0.218
-0.622,0.858
-0.742,-0.061
-0.673,-0.195
-0.441,0.053
0.650,-0.926
-0.612,1.172
-0.632,0.950
-0.640,-0.115
-0.577,1.013
0.646,-0.992
0.454,-1.075
-0.688,0.072
0.610,0.205
-0.520,-0.123
-0.442,-0.302
-0.486,0.696
1.580,-0.718
1.850,-0.726
-0.504,-0.228
0.588,-0.546
1.601,-0.615
-0.405,0.844
-0.656,0.026
1.530,-0.787
-0.547,1.094
0.696,-0.097
0.762,0.143
-0.441,-0.208
1.726,-0.794
0.401,0.381
1.593,-1.523
-0.625,0.782
-0.579,-0.498
-0.537,0.061
-0.506,0.018
-0.483,-0.272
0.479,0.337
-0.473,0.483
-1.016,0.643
0.399,-0.774
-0.441,-0.159
-0.916,0.548
-0.680,-0.009
1.499,-0.634
-0.563,0.969
-0.405,1.014
-0.710,0.118
1.761,-0.970
-0.649,-0.034
0.601,-0.748
-0.478,1.374
2.604,-2.258
-0.595,-0.353
-0.892,0.620
0.342,0.408
-0.695,-0.081
-0.531,-0.087
-0.482,-0.249
-0.046,-0.502
-0.702,0.304
-0.661,-0.179
-0.354,0.775
-0.408,0.978
-0.594,-0.395
-0.503,-0.123
-0.567,0.986
0.748,0.489
0.555,-1.047
-0.639,0.967
2.699,-1.403
-0.111,-1.198
-0.267,0.983
0.355,-0.748
-0.679,-0.241
-0.923,0.716
-0.735,0.995
-0.541,-0.517
-0.520,-0.149
-0.637,0.184
-0.663,-0.133
1.652,-1.628
-0.883,0.451
-0.688,1.307
0.484,0.334
-0.603,0.844
-0.614,0.812
-0.639,-0.020
0.444,-0.761
-0.705,0.947
-0.648,0.221
-0.400,0.727
0.097,-0.205
-0.659,-0.323
-0.869,0.582
-0.390,0.913
-0.465,1.012
-0.655,-0.199
-0.614,0.731
-0.431,0.051
1.470,-1.379
-0.333,0.843
-0.879,0.469
-0.514,-0.135
0.315,-0.881
2.518,-2.296
2.558,-2.123
-0.967,0.532
-0.516,-0.126
-0.657,1.071
-0.680,-0.028
-0.873,0.389
-0.634,-0.068
-0.613,-0.186
-0.600,0.824
0.553,-1.012
0.148,0.108
-0.645,-0.068
-0.365,1.201
1.677,-1.295
-0.671,-0.255
2.673,-2.667
1.466,-0.447
-1.003,0.566
-0.688,1.143
-0.928,0.723
-0.652,-0.029
0.444,-1.480
-0.561,1.080
-0.611,0.824
-0.710,-0.307
-0.134,-1.359
-0.519,-0.289
-0.637,-0.391
1.600,-1.539
-0.684,0.987
-0.591,0.624
-0.526,0.139
-0.395,1.555
-0.631,-0.152
-0.672,1.179
0.539,0.414
-0.459,0.976
-0.600,0.684
-0.702,-0.273
-0.514,0.193
-0.403,1.440
-0.486,-0.013
-0.497,1.099
-0.631,-0.102
-0.516,0.100
-0.704,0.933
3.924,-1.885
-0.887,0.377
-0.683,-0.084
1.502,-1.240
-0.559,-0.403
0.531,-1.289
-0.895,0.540
-0.704,-0.252
-0.703,-0.254
0.398,-0.636
0.474,-0.110
0.333,-0.905
-0.569,0.749
-0.552,-0.173
-0.523,-0.264
-0.526,-0.215
-0.563,0.982
-0.554,-0.565
-0.517,-0.285
-0.650,-0.147
-0.638,-0.054
-0.517,-0.060
-0.717,1.059
-0.538,-0.198
-0.884,0.380
0.390,-0.789
-0.724,0.052
-0.686,-0.303
-0.597,1.103
0.427,-0.796
1.503,-0.220
0.433,0.200
-0.421,1.109
-0.399,0.707
-0.658,-0.113
3.978,-1.971
-0.957,0.710
-0.651,-0.136
-0.637,1.207
2.830,-1.274
0.672,-0.903
-0.654,0.519
2.571,-2.235
-0.602,0.672
-0.511,-0.088
-0.603,0.984
-0.895,0.507
-0.628,-0.099
0.515,0.366
-0.606,0.836
-0.541,0.868
1.477,-0.222
0.460,0.161
-0.946,0.633
-0.639,-0.268
-1.016,0.646
0.378,-0.627
1.476,-1.372
-0.734,1.045
2.547,-1.247
0.489,0.199
-0.548,0.824
-0.348,0.985
0.764,-0.020
-0.500,0.189
2.779,-1.986
-0.672,1.245
-0.352,1.079
-0.965,0.728
-0.920,0.575
-0.650,-0.172
1.339,-3.023
-0.941,0.581
-0.684,0.005
-0.726,1.032
1.467,-0.075
0.372,0.237
-0.692,1.003
1.760,-0.459
-0.703,-0.126
-0.694,-0.030
-0.950,0.555
-0.709,0.976
-0.585,1.006
0.460,0.367
-0.606,0.971
0.415,-0.777
1.540,-0.577
-0.727,-0.104
0.572,-0.940
-1.017,0.638
-0.967,0.451
-0.663,-0.262
-0.557,0.755
-0.929,0.393
0.409,-0.978
-0.443,1.200
-0.279,1.063
0.055,-0.103
-0.562,-0.629
-0.723,0.944
1.506,-1.421
-0.546,0.910
-0.677,-0.108
-0.622,-0.028
0.450,-0.006
-0.412,0.882
0.543,0.333
-0.497,0.569
-0.706,0.250
-0.721,1.079
-0.507,0.680
-0.956,0.588
-0.919,0.649
-0.611,0.711
-0.952,0.616
1.706,-0.610
-0.455,0.846
-0.451,0.859
1.391,-1.633
-0.384,-0.003
-0.608,0.965
-0.610,1.025
-0.648,0.779
-0.741,-0.058
-0.600,-0.491
-0.504,-0.024
-0.469,-0.064
-0.612,1.072
-0.604,0.801
-0.653,0.208
-0.428,0.748
-0.487,0.509
3.784,-1.736
0.348,-0.860
-0.568,0.920
-0.345,0.799
-0.689,1.422
1.559,-1.483
-1.042,0.726
-0.708,0.956
-0.655,0.038
0.428,-0.667
0.398,0.328
1.749,-0.365
-0.618,-0.108
-0.336,0.797
-0.486,0.106
-0.632,-0.102
-0.545,0.071
0.417,-0.817
-0.696,-0.079
-0.660,1.064
-0.486,0.804
0.505,-0.329
-0.588,0.744
3.613,-2.922
0.388,-0.991
-0.717,1.131
-0.590,0.886
-0.620,-0.128
-0.357,1.071
1.467,-1.656
0.464,-0.183
-0.393,-0.173
0.417,-0.871
1.539,-1.791
1.487,-1.336
-0.696,-0.221
-0.698,-0.261
1.462,-1.617
-0.676,-0.014
2.561,-2.234
0.388,-0.731
-0.693,-0.029
-0.689,-0.156
-0.690,-0.256
-0.649,-0.082
-0.665,-0.107
-0.648,0.021
-0.646,-0.220
-0.656,-0.335
-0.643,-0.137
-0.635,0.018
2.616,-2.207
-0.676,-0.227
-0.661,-0.228
-0.650,0.027
-0.666,-0.086
-0.666,-0.163
-0.627,0.006
-0.635,0.168
-0.651,-0.174
-0.659,-0.218
0.470,-0.619
-0.649,-0.136
-0.670,-0.272
0.420,-0.762
-0.649,-0.271
-0.659,-0.074
0.332,-1.608
1.512,-1.414
0.422,-0.724
1.503,-1.579
-0.626,-0.092
-0.647,-0.212
0.425,-0.946
-0.668,-0.196
-0.631,-0.075
-0.644,-0.123
-0.663,-0.152
1.528,-1.367
-0.635,-0.067
-0.646,0.027
-0.665,-0.316
-0.659,-0.016
-0.633,-0.079
-0.641,0.086
-0.666,-0.180
-0.619,0.098
-0.649,0.093
-0.672,-0.265
-0.658,0.054
-0.656,-0.188
-0.620,0.001
-0.643,0.068
-0.642,-0.022
-0.635,0.091
-0.630,-0.062
-0.654,-0.075
-0.627,-0.106
-0.631,-0.257
1.539,-1.436
1.500,-1.560
-0.673,-0.238
-0.659,-0.123
0.352,-1.556
-0.643,0.014
-0.127,-1.303
-0.631,-0.150
-0.645,-0.133
1.510,-1.752
-0.658,0.017
-0.676,-0.205
-0.642,-0.167
-0.632,-0.123
-0.632,-0.122
-0.640,-0.174
-0.664,-0.208
1.602,-1.686
0.417,-0.895
0.432,-0.688
-0.627,-0.166
-0.641,-0.153
0.426,-0.747
-0.657,-0.209
0.418,-0.873
-0.652,-0.035
-0.625,0.011
-0.667,-0.118
-0.669,-0.291
-0.673,-0.125
-0.667,-0.129
-0.672,-0.122
-0.666,-0.111
-0.659,-0.180
-0.098,-1.311
-0.613,0.078
1.543,-1.587
-0.612,-0.236
-0.633,-0.312
-0.629,0.062
-0.665,-0.336
-0.641,-0.310
-0.638,-0.102
-0.604,-0.208
2.603,-2.638
0.466,-0.733
-0.627,-0.449
-0.598,-0.190
-0.598,-0.361
0.476,-1.106
1.576,-1.796
-0.575,-0.062
-0.561,-0.540
-0.720,0.190
-0.531,-0.127
0.518,-1.032
-0.543,-0.456
0.505,-1.219
-0.577,-0.565
-0.524,-0.283
1.610,-1.617
-0.525,0.092
-0.528,0.022
-0.540,0.077
-0.536,-0.198
-0.536,0.004
2.704,-2.216
-0.539,-0.100
2.730,-2.056
1.658,-1.539
1.575,-2.079
-0.499,0.898
0.561,-0.748
1.725,-1.252
-0.481,-0.206
1.739,-1.211
-0.448,0.058
-0.455,-0.075
-0.714,0.151
0.554,-1.426
0.616,-0.738
-0.536,-0.221
0.530,-1.015
2.731,-2.136
0.543,-0.885
-0.558,-0.262
3.793,-3.037
-0.505,0.024
-0.745,-0.053
-0.525,-0.128
0.358,-0.622
-0.710,0.326
-0.483,-0.144
2.726,-2.393
-0.505,-0.360
1.767,-1.476
0.683,-0.838
-0.439,-0.350
-0.413,-0.170
12.561,-8.614
-0.398,-0.271
-0.657,-0.059
-0.613,-0.342
1.580,-2.014
-0.523,-0.286
-0.666,0.693
-0.328,0.795
1.670,-1.677
-0.696,-0.200
-0.550,1.066
