Time,Zip,Lat,Long,Pers i,Pers K,Ped i,Ped K,Cyc i,Cyc K,Mot i,Mot K
0.437,1.384,0.2030149,0.3318839,0,0,0,0,0,0,0,0
0.13,1.378,0.2227506,0.3712495,0,0,0,0,0,0,0,0
0.035,1.229,0.1230608,0.2713285,0,0,0,0,0,0,0,0
2.2,0.461,0.3455481,0.3823606,0,0,0,0,0,0,0,0
1.63,0.462,0.3784057,0.3321216,0,0,0,0,0,0,0,0
2.32,0.47,0.4109696,0.3410154,0,0,0,0,0,0,0,0
1.65,0.002,0.2310548,0.2475009,2,0,0,0,0,0,2,0
1.655,0.013,0.2274948,0.2364854,0,0,0,0,0,0,0,0
1.8,0.467,0.381727,0.3537954,0,0,0,0,0,0,0,0
1.633,0.466,0.3775353,0.370202,0,0,0,0,0,0,0,0
1.63,0.467,0.3616401,0.3368674,2,0,0,0,0,0,2,0
1.23,0.466,0.3649376,0.3697402,0,0,0,0,0,0,0,0
1.5,1.223,0.0787172,0.2655886,0,0,0,0,0,0,0,0
1.255,0.013,0.2280023,0.2311275,5,0,0,0,0,0,5,0
1.045,0.013,0.2327343,0.2315849,0,0,0,0,0,0,0,0
1.615,1.234,0.087404,0.2924545,0,0,0,0,0,0,0,0
1.6,1.222,0.0922131,0.2771624,0,0,0,0,0,0,0,0
1.137,1.222,0.0950501,0.2807719,0,0,0,0,0,0,0,0
1.3,1.228,0.0982715,0.2903957,0,0,0,0,0,0,0,0
0.43,1.235,0.139129,0.3223392,1,1,0,0,0,0,1,1
0.05,0.001,0.2104237,0.2611808,0,0,0,0,0,0,0,0
1.345,0.001,0.214557,0.2627368,0,0,0,0,0,0,0,0
0.63,1.217,0.1376246,0.2571278,0,0,0,0,0,0,0,0
1.92,0.001,0.2174458,0.2536,0,0,0,0,0,0,0,0
1.23,1.218,0.1277362,0.2432555,0,0,0,0,0,0,0,0
0.115,1.217,0.1399526,0.2695307,0,0,0,0,0,0,0,0
0.815,1.218,0.1440674,0.2494898,0,0,0,0,0,0,0,0
0.11,1.217,0.1398047,0.2681578,0,0,0,0,0,0,0,0
0.9,1.203,0.1222598,0.2523115,2,0,0,0,0,0,2,0
0.9,0.001,0.2174458,0.2536,0,0,0,0,0,0,0,0
1.505,1.217,0.1421956,0.2677048,0,0,0,0,0,0,0,0
1.6,1.229,0.1230608,0.2713285,1,0,0,0,0,0,1,0
0.642,0.001,0.2178363,0.2663489,2,0,0,0,0,0,2,0
0.822,1.203,0.1155967,0.2633469,0,0,0,0,0,0,0,0
0.3,1.202,0.1503113,0.3046543,0,0,0,0,0,0,0,0
