DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
8/14/2014,1.62,MANHATTAN,0.023,0.2853755,0.2696274,"(40.786486, -73.972173)",WEST 86 STREET,COLUMBUS AVENUE,,0,0,0,0,0,0,0,0,Driver Inexperience,Illness,Driver Inattention/Distraction,,,1008316,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,
8/13/2014,1.72,BROOKLYN,1.209,0.120673,0.2939062,"(40.621783, -73.947894)",AVENUE L,EAST 28 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,Lost Consciousness,,,1008468,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
8/14/2014,1.74,BROOKLYN,1.211,0.1662552,0.3190737,"(40.667365, -73.922726)",RALPH AVENUE,UNION STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Other Vehicular,Other Vehicular,,,1008480,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
8/13/2014,1.63,MANHATTAN,0.035,0.2644201,0.2441285,"(40.76553, -73.997671)",WEST SIDE HIGHWAY,WEST 48 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,,,1008818,PASSENGER VEHICLE,PASSENGER VEHICLE,BUS,,
8/16/2014,1.43,BROOKLYN,1.206,0.1700946,0.3412915,"(40.671205, -73.900508)",PITKIN AVENUE,HINSDALE STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Other Vehicular,Other Vehicular,,,1009430,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
8/15/2014,0.505,BROOKLYN,1.221,0.2194653,0.3055926,"(40.720575, -73.936207)",VANDERVOORT AVENUE,RICHARDSON STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Turning Improperly,Turning Improperly,,,1009476,UNKNOWN,PASSENGER VEHICLE,PASSENGER VEHICLE,,
8/17/2014,0.13,MANHATTAN,0.029,0.316066,0.2957427,"(40.817176, -73.946057)",WEST 136 STREET,8 AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Driver Inattention/Distraction,,,1009686,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
8/16/2014,0.811,BROOKLYN,1.225,0.1512039,0.2857889,"(40.652314, -73.956011)",LINDEN BOULEVARD,BEDFORD AVENUE,,3,0,0,0,0,0,3,0,Other Vehicular,Other Vehicular,Driver Inattention/Distraction,Physical Disability,Driver Inattention/Distraction,1009781,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
8/18/2014,0.81,QUEENS,1.692,0.1137613,0.4201603,"(40.614871, -73.82164)",CROSSBAY BOULEVARD,EAST 1 ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,1010353,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
8/19/2014,1.115,MANHATTAN,0.064,0.2661801,0.2751934,"(40.76729, -73.966607)",EAST 66 STREET,PARK AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,,,1010625,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,TAXI,,
