DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/13/2016,12:15,MANHATTAN,10001,40.7454217,-73.9909669,"(40.745422, -73.990967)",AVENUE OF THE AMERICAS,WEST 27 STREET,,4,0,0,0,0,0,4,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,3407031,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/17/2016,0:25,MANHATTAN,10010,40.7435691,-73.9923205,"(40.743569, -73.99232)",AVENUE OF THE AMERICAS,WEST 24 STREET,,0,0,0,0,0,0,0,0,Alcohol Involvement,Alcohol Involvement,Alcohol Involvement,,,3407055,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/17/2016,5:25,MANHATTAN,10003,40.7342607,-73.9835497,"(40.734261, -73.98355)",2 AVENUE,EAST 17 STREET,,3,0,0,0,0,0,3,0,Alcohol Involvement,Alcohol Involvement,Alcohol Involvement,,,3407058,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/22/2016,5:30,MANHATTAN,10036,40.7548409,-73.9841185,"(40.754841, -73.984118)",WEST 42,6TH AVE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,3407218,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/20/2016,16:10,MANHATTAN,10017,40.7536248,-73.9694324,"(40.753625, -73.969432)",EAST 48 STREET,2 AVENUE,,1,0,0,0,0,0,1,0,Illness,Illness,Illness,Illness,,3407634,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
03/27/2016,9:55,MANHATTAN,10016,40.7485397,-73.9731412,"(40.74854, -73.973141)",2 AVENUE,EAST 40 STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Turning Improperly,Turning Improperly,,,3407680,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/29/2016,21:55,MANHATTAN,10022,40.7602226,-73.967462,"(40.760223, -73.967462)",EAST 57 STREET,3 AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,,,3407714,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/08/2016,21:20,MANHATTAN,10017,40.749824,-73.9722023,"(40.749824, -73.972202)",EAST 42 STREET,2 AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,,,3407786,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/14/2016,11:00,MANHATTAN,10022,40.7616008,-73.9686418,"(40.761601, -73.968642)",LEXINGTON AVENUE,EAST 58 STREET,,2,0,0,0,0,0,2,0,Other Vehicular,Other Vehicular,Other Vehicular,,,3407833,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/17/2016,14:42,MANHATTAN,10016,40.7464029,-73.9797248,"(40.746403, -73.979725)",EAST 34TH STREET,LEXINGTON AVENUE,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,Fatigued/Drowsy,,,3407875,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
