Pers K,Pers i,Mot i,Mot K,Zip,Long,Lat,Ped i,Time,Cyc i
0,1,1,0,0.01,0.2331858,0.2421022,0,0.623,0
0,0,0,0,1.378,0.3424463,0.2115369,0,1.439,0
0,0,0,0,1.384,0.3806353,0.2081787,0,0.84,0
0,0,0,0,1.421,0.497582,0.157864,0,1.313,0
0,0,0,0,1.413,0.4023363,0.1563895,0,1.23,0
0,0,0,0,1.366,0.4164842,0.2161666,0,0.6,0
0,0,0,0,1.366,0.4311059,0.2253796,0,1.83,0
0,0,0,0,1.374,0.4154185,0.2142002,0,1.8,0
0,0,0,0,1.434,0.4273607,0.2032931,0,1.81,0
0,0,0,0,1.434,0.4243749,0.2113757,0,1.13,0
0,1,1,0,1.431,0.4662904,0.2179851,0,0.85,0
0,2,2,0,1.366,0.4271055,0.2360303,0,1.13,0
0,0,0,0,1.431,0.4411417,0.2080459,0,1.124,0
0,0,0,0,1.431,0.4487608,0.2095997,0,1.3,0
0,0,0,0,1.431,0.4326215,0.2103605,0,1.1,0
0,0,0,0,1.434,0.4235812,0.21528,0,1.326,0
0,0,0,0,1.434,0.42496,0.207716,0,0.92,0
0,0,0,0,1.431,0.4515847,0.2106075,0,0.5,0
0,0,0,0,1.1,0.3072239,0.2385652,0,0.227,0
0,2,2,0,1.376,0.3459488,0.2391625,0,0.415,0
0,0,0,0,1.355,0.3973989,0.2754998,0,2.35,0
0,0,0,0,1.372,0.3655197,0.2437598,0,1.928,0
0,1,1,0,1.372,0.3714306,0.2323873,0,1.51,0
0,0,0,0,0,0.2527889,0.2426867,0,1.42,0
0,1,1,0,1.363,0.4844478,0.2400052,0,2.24,0
0,0,0,0,1.372,0.3717551,0.2452077,0,2.25,0
0,0,0,0,1.361,0.510128,0.267975,0,1.04,0
0,0,0,0,1.36,0.4673248,0.2709926,0,0.84,0
0,0,0,0,1.362,0.4975177,0.2642488,0,1.1,0
0,1,1,0,1.362,0.4848172,0.26115,0,0.7,0
0,0,0,0,1.361,0.5099458,0.2478179,0,0.34,0
0,0,0,0,1.357,0.449342,0.2676668,0,0.91,0
0,0,0,0,1.374,0.3961288,0.2072999,0,0.61,0
0,0,0,0,1.374,0.3978221,0.2203435,0,0.707,0
0,0,0,0,1.411,0.4798212,0.19348,0,2.33,0
0,0,0,0,1.368,0.3735072,0.2607025,0,0.85,0
0,2,2,0,1.433,0.4521734,0.1868284,0,1.63,0
0,1,1,0,1.432,0.4603367,0.1933595,0,1.33,0
0,0,0,0,1.412,0.485085,0.1674512,0,1,0
0,2,2,0,0.015,0.2604585,0.2459684,0,1.93,0
0,1,1,0,0.016,0.2618648,0.2536727,0,1.8,0
0,0,0,0,0.453,0.3171521,0.3096177,0,2.025,0
0,2,2,0,0.467,0.3440632,0.3602424,0,2.222,0
0,2,2,0,1.233,0.3235575,0.1276605,0,1.434,0
0,1,1,0,1.225,0.2857889,0.1512039,0,2.253,0
0,1,1,0,1.216,0.270405,0.1789722,0,1.955,0
0,0,0,0,1.364,0.4335606,0.2408999,0,1.83,0
0,0,0,0,0.074,0.2850034,0.2738566,0,2.045,0
0,0,0,0,0.032,0.3099497,0.3456932,0,2.355,0
0,1,0,0,0.452,0.3372789,0.3562162,1,1.055,0
0,1,1,0,1.377,0.3311546,0.2212626,0,0.14,0
0,0,0,0,1.384,0.3511769,0.1903256,0,1.8,0
